,muralName,artistName,address,year,imgLink
0,DETROIT MURAL #0674,Pat Perry,"2605 Newark Street, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b572aa9f950b7329f3abd59/1556712947246/FullSizeRender-3.jpg
1,DETROIT MURAL #0694,Tony Whlgn,"19031 Grand River Ave, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b52ed900e2e72a1709776d6/1556712947219/FullSizeRender-4.jpg
2,DETROIT MURAL #0693,Ledania,"2605 Newark Street, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b52eb78758d4613dececcfb/1556712947214/FullSizeRender-5.jpg
3,DETROIT MURAL #0690,FFTY,"8801 Oakland Avenue, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d4895f950b7e7ee07c3eb/1556712947203/FullSizeRender-6.jpg
4,DETROIT MURAL #0689,Laura Finlay,"4126 Third Avenue, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d488c8a922df608353505/1556712947190/FullSizeRender-7.jpg
5,DETROIT MURAL #0687,Ndubisi Okoye,"7900 Mack Avenue, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d47b38a922df608350b5d/1556712947179/FullSizeRender-9.jpg
6,DETROIT MURAL #0686,Michael Burdick and Kelly Golden,"10125 East Jefferson, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d47a26d2a739de2af78e3/1556712947173/FullSizeRender-10.jpg
7,DETROIT MURAL #0671,Bernal Perez,"6600 West Vernor Highway, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b2d46d90e2e72e10f3d7205/1556712947166/FullSizeRender-11.jpg
8,DETROIT MURAL #0682,Tylonn J. Sawyer,"1550 Taylor Street, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b475955352f53728bd4ae1c/1556712947208/1531402738820.jpeg
9,DETROIT MURAL #0625,Patch Whisky,"4847 Fort Street, Detroit, MI",2018,https://static1.squarespace.com/static/5ab0771496e76f89eeebf997/5ca3c3e7e4966ba9b7e6f488/5b16ae130e2e72611beb90d2/1556712947096/FullSizeRender-4.jpg
